audio_filename,extracted_text
captcha_0001.wav,ABOr4z
captcha_0002.wav,xLMbrT
captcha_0003.wav,bBRG5o
captcha_0004.wav,fd2hYy
captcha_0005.wav,SvOUfs
captcha_0006.wav,86dHWG
captcha_0007.wav,hHrZVn
captcha_0008.wav,hmRfZv
captcha_0009.wav,wYDOet
captcha_0010.wav,7gIAHO
captcha_0011.wav,vutDgy
captcha_0012.wav,jJdijT
captcha_0013.wav,Bcclyo
captcha_0014.wav,rtlILc
captcha_0015.wav,25gLRC
captcha_0016.wav,Rpqomo
captcha_0017.wav,IN8vmv
captcha_0018.wav,jQEIbm
captcha_0019.wav,4BMsoq
captcha_0020.wav,OBMJ9r
captcha_0021.wav,KovZug
captcha_0022.wav,LROhAO
captcha_0023.wav,JDZwO7
captcha_0024.wav,Zfgnis
captcha_0025.wav,TxFg90
captcha_0026.wav,q4eSJg
captcha_0027.wav,z6xi6H
captcha_0028.wav,wTpAIB
captcha_0029.wav,UOZSZP
captcha_0030.wav,DSjK8E
captcha_0031.wav,AAHTWT
captcha_0032.wav,IGZbPy
captcha_0033.wav,kQAct5
captcha_0034.wav,NVplmo
captcha_0035.wav,Ugzacc
captcha_0036.wav,x8tjaE
captcha_0037.wav,tZHDvj
captcha_0038.wav,XSXsEO
captcha_0039.wav,5057nc
captcha_0040.wav,D843gi
captcha_0041.wav,iMosE9
captcha_0042.wav,axV9Zu
captcha_0043.wav,pctUXg
captcha_0044.wav,OLYA9D
captcha_0045.wav,rxRNZQ
captcha_0046.wav,HCPfpd
captcha_0047.wav,hRTbgx
captcha_0048.wav,jvTZMN
captcha_0049.wav,4OPnyT
captcha_0050.wav,zTwwMt
captcha_0051.wav,KTbMHX
captcha_0052.wav,vY7bIH
captcha_0053.wav,7k64LI
captcha_0054.wav,KfiyRI
captcha_0055.wav,aZPcWY
captcha_0056.wav,wtSbio
captcha_0057.wav,X3mrtJ
captcha_0058.wav,0OaH23
captcha_0059.wav,HFXeQu
captcha_0060.wav,DtGigt
captcha_0061.wav,xgZdqX
captcha_0062.wav,33iCFi
captcha_0063.wav,OHL838
captcha_0064.wav,LLru64
captcha_0065.wav,HZEPui
captcha_0066.wav,aTxHWZ
captcha_0067.wav,StJ6SF
captcha_0068.wav,945DFC
captcha_0069.wav,BFxKBy
captcha_0070.wav,Upixrl
captcha_0071.wav,XHVCFM
captcha_0072.wav,tEEcmq
captcha_0073.wav,IHkSz
captcha_0074.wav,avEICK
captcha_0075.wav,uilam3
captcha_0076.wav,rbtJGV
captcha_0077.wav,fCAAYC
captcha_0078.wav,YLEaOA
captcha_0079.wav,B178bw
captcha_0080.wav,FZTbaX
captcha_0081.wav,2kidVs
captcha_0082.wav,vov94Z
captcha_0083.wav,nwLjIH
captcha_0084.wav,UKgghq
captcha_0085.wav,M6qARY
captcha_0086.wav,gXEZhv
captcha_0087.wav,aulGLO
captcha_0088.wav,WSLIqE
captcha_0089.wav,tkOAME
captcha_0090.wav,KKfPNV
captcha_0091.wav,ETDHr5
captcha_0092.wav,HWsUGb
captcha_0093.wav,BCBrVj
captcha_0094.wav,NdoSRo
captcha_0095.wav,GHuczX
captcha_0096.wav,vOgBle
captcha_0097.wav,gNals3
captcha_0098.wav,6Wpe5a
captcha_0099.wav,elOMvj
captcha_0100.wav,G1SuxQ
captcha_0101.wav,rH4Q78
captcha_0102.wav,Njt4eg
captcha_0103.wav,VeBMDb
captcha_0104.wav,6J2zJC
captcha_0105.wav,W32gIE
captcha_0106.wav,FeHmGo
captcha_0107.wav,OGgPbG
