image_path,extracted_text
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0001.png,ABOr4z
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0002.png,xLMbrT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0003.png,bBRG5o
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0004.png,fd2hYy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0005.png,SvOUfs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0006.png,86dHWG
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0007.png,hHrZVn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0008.png,hmRfZv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0009.png,wYDOet
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0010.png,7gIAHO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0011.png,vutDgy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0012.png,jJdijT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0013.png,Bcclyo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0014.png,rtlILc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0015.png,25gLRC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0016.png,Rpqomo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0017.png,IN8vmv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0018.png,jQEIbm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0019.png,4BMsoq
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0020.png,OBMJ9r
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0021.png,KovZug
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0022.png,LROhAO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0023.png,JDZwO7
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0024.png,Zfgnis
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0025.png,TxFg90
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0026.png,q4eSJg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0027.png,z6xi6H
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0028.png,wTpAIB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0029.png,UOZSZP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0030.png,DSjK8E
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0031.png,AAHTWT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0032.png,IGZbPy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0033.png,kQAct5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0034.png,NVplmo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0035.png,Ugzacc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0036.png,x8tjaE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0037.png,tZHDvj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0038.png,XSXsEO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0039.png,5057nc
